HSHD_NUM,recency,frequency,total_spend,avg_basket_value,total_units,recent_spend,older_spend,spend_trend,INCOME_RANGE,AGE_RANGE,HH_SIZE,L,CHILDREN,churned
136,28,235,55423.28,235.84374468085105,10872,8758.16,46665.12,-37906.96000000001,3,4,2,1,0,0
139,652,9,2675.52,297.28,980,0.0,2675.52,-2675.52,2,4,0,1,0,1
139,652,9,2675.52,297.28,980,0.0,2675.52,-2675.52,2,4,0,1,0,1
151,0,298,34568.6,116.00201342281879,11680,7705.64,26862.96,-19157.32,1,3,0,0,0,0
151,0,298,34568.6,116.00201342281879,11680,7705.64,26862.96,-19157.32,1,3,0,0,0,0
159,8,232,39941.32,172.16086206896554,17880,13549.32,26392.0,-12842.68,6,7,5,1,0,0
159,8,232,39941.32,172.16086206896554,17880,13549.32,26392.0,-12842.68,6,7,5,1,0,0
160,4,112,11819.28,105.52928571428572,3204,3979.4,7839.88,-3860.48,0,3,3,1,0,0
160,4,112,11819.28,105.52928571428572,3204,3979.4,7839.88,-3860.48,0,3,3,1,0,0
172,11,128,22278.12,174.04781250000002,11032,4320.12,17958.0,-13637.880000000001,5,6,0,1,0,0
172,11,128,22278.12,174.04781250000002,11032,4320.12,17958.0,-13637.880000000001,5,6,0,1,0,0
183,3,277,79842.48,288.24,21136,23284.56,56557.92,-33273.36,3,2,1,1,0,0
183,3,277,79842.48,288.24,21136,23284.56,56557.92,-33273.36,3,2,1,1,0,0
184,2,211,24519.52,116.20625592417062,8612,5173.16,19346.36,-14173.2,2,4,2,1,0,0
184,2,211,24519.52,116.20625592417062,8612,5173.16,19346.36,-14173.2,2,4,2,1,0,0
185,246,2,115.72,57.86,36,0.0,115.72,-115.72,0,3,2,1,0,1
185,246,2,115.72,57.86,36,0.0,115.72,-115.72,0,3,2,1,0,1
186,146,8,752.4,94.05000000000001,328,610.96,141.44,469.52000000000004,0,3,2,0,0,1
186,146,8,752.4,94.05000000000001,328,610.96,141.44,469.52000000000004,0,3,2,0,0,1
196,5,63,23193.64,368.1530158730159,5960,5209.12,17984.52,-12775.400000000001,3,2,2,1,0,0
196,5,63,23193.64,368.1530158730159,5960,5209.12,17984.52,-12775.400000000001,3,2,2,1,0,0
210,0,212,58933.16,277.98660377358493,19092,16219.800000000001,42713.36,-26493.559999999998,6,7,5,1,0,0
210,0,212,58933.16,277.98660377358493,19092,16219.800000000001,42713.36,-26493.559999999998,6,7,5,1,0,0
225,385,1,178.64000000000001,178.64,48,0.0,178.64000000000001,-178.64000000000001,2,5,0,0,0,1
225,385,1,178.64000000000001,178.64,48,0.0,178.64000000000001,-178.64000000000001,2,5,0,0,0,1
242,0,187,28169.760000000002,150.64042780748665,6996,8473.48,19696.28,-11222.8,3,4,1,0,0,0
242,0,187,28169.760000000002,150.64042780748665,6996,8473.48,19696.28,-11222.8,3,4,1,0,0,0
264,298,2,218.2,109.10000000000002,84,0.0,218.2,-218.2,5,2,1,1,0,1
264,298,2,218.2,109.10000000000002,84,0.0,218.2,-218.2,5,2,1,1,0,1
308,1,726,60544.68,83.39487603305784,29884,14595.36,45949.32,-31353.96,3,5,0,1,0,0
308,1,726,60544.68,83.39487603305784,29884,14595.36,45949.32,-31353.96,3,5,0,1,0,0
361,2,369,31170.44,84.47273712737127,9716,5883.4400000000005,25287.0,-19403.559999999998,0,4,2,0,0,0
361,2,369,31170.44,84.47273712737127,9716,5883.4400000000005,25287.0,-19403.559999999998,0,4,2,0,0,0
401,0,260,54308.32,208.87815384615382,23888,16195.52,38112.8,-21917.280000000002,2,4,1,1,0,0
401,0,260,54308.32,208.87815384615382,23888,16195.52,38112.8,-21917.280000000002,2,4,1,1,0,0
422,28,155,19434.52,125.38400000000003,7052,5361.0,14073.52,-8712.52,3,2,4,1,0,0
422,28,155,19434.52,125.38400000000003,7052,5361.0,14073.52,-8712.52,3,2,4,1,0,0
428,1,220,34901.56,158.64345454545457,11828,10560.8,24340.760000000002,-13779.960000000003,2,6,1,1,0,0
428,1,220,34901.56,158.64345454545457,11828,10560.8,24340.760000000002,-13779.960000000003,2,6,1,1,0,0
438,0,524,143228.88,273.3375572519083,32844,29326.96,113901.92,-84574.95999999999,1,2,1,1,0,0
438,0,524,143228.88,273.3375572519083,32844,29326.96,113901.92,-84574.95999999999,1,2,1,1,0,0
453,2,151,51070.68,338.2164238410596,12920,20186.96,30883.72,-10696.760000000002,1,0,1,1,0,0
453,2,151,51070.68,338.2164238410596,12920,20186.96,30883.72,-10696.760000000002,1,0,1,1,0,0
455,129,1,9.96,9.96,4,9.96,0.0,9.96,4,3,4,1,0,1
455,129,1,9.96,9.96,4,9.96,0.0,9.96,4,3,4,1,0,1
459,13,203,23641.36,116.45990147783252,6736,6544.72,17096.64,-10551.919999999998,3,4,2,0,0,0
459,13,203,23641.36,116.45990147783252,6736,6544.72,17096.64,-10551.919999999998,3,4,2,0,0,0
482,4,135,14820.68,109.78281481481481,6580,3167.64,11653.04,-8485.400000000001,3,2,0,0,0,0
482,4,135,14820.68,109.78281481481481,6580,3167.64,11653.04,-8485.400000000001,3,2,0,0,0,0
514,0,257,74114.04,288.38147859922174,22216,19101.4,55012.64,-35911.24,4,5,5,1,0,0
514,0,257,74114.04,288.38147859922174,22216,19101.4,55012.64,-35911.24,4,5,5,1,0,0
525,21,147,22081.36,150.21333333333334,9168,5565.64,16515.72,-10950.080000000002,5,4,1,1,0,0
525,21,147,22081.36,150.21333333333334,9168,5565.64,16515.72,-10950.080000000002,5,4,1,1,0,0
554,3,177,21316.68,120.43322033898305,8184,4594.64,16722.04,-12127.400000000001,5,4,0,0,0,0
554,3,177,21316.68,120.43322033898305,8184,4594.64,16722.04,-12127.400000000001,5,4,0,0,0,0
575,17,135,14456.28,107.08355555555556,5876,3975.52,10480.76,-6505.24,3,5,0,1,0,0
575,17,135,14456.28,107.08355555555556,5876,3975.52,10480.76,-6505.24,3,5,0,1,0,0
577,6,162,27046.72,166.95506172839507,10660,6602.04,20444.68,-13842.64,5,5,1,1,0,0
577,6,162,27046.72,166.95506172839507,10660,6602.04,20444.68,-13842.64,5,5,1,1,0,0
590,6,216,39130.08,181.1577777777778,12952,14163.800000000001,24966.28,-10802.479999999998,2,4,4,1,0,0
590,6,216,39130.08,181.1577777777778,12952,14163.800000000001,24966.28,-10802.479999999998,2,4,4,1,0,0
594,2,99,10695.880000000001,108.03919191919194,4664,2652.76,8043.12,-5390.36,2,2,1,0,0,0
594,2,99,10695.880000000001,108.03919191919194,4664,2652.76,8043.12,-5390.36,2,2,1,0,0,0
605,0,231,18737.44,81.11445887445889,9564,5273.68,13463.76,-8190.08,5,4,2,0,0,0
605,0,231,18737.44,81.11445887445889,9564,5273.68,13463.76,-8190.08,5,4,2,0,0,0
616,0,187,50558.8,270.3679144385027,17236,16081.72,34477.08,-18395.36,6,7,5,1,0,0
616,0,187,50558.8,270.3679144385027,17236,16081.72,34477.08,-18395.36,6,7,5,1,0,0
631,1,174,25277.48,145.27287356321838,10408,8925.04,16352.44,-7427.4,2,5,5,1,0,0
631,1,174,25277.48,145.27287356321838,10408,8925.04,16352.44,-7427.4,2,5,5,1,0,0
632,0,183,29865.68,163.20043715846995,10008,7741.32,22124.36,-14383.04,3,4,1,1,0,0
632,0,183,29865.68,163.20043715846995,10008,7741.32,22124.36,-14383.04,3,4,1,1,0,0
642,0,130,11913.16,91.6396923076923,4240,4285.88,7627.28,-3341.3999999999996,2,3,1,0,0,0
642,0,130,11913.16,91.6396923076923,4240,4285.88,7627.28,-3341.3999999999996,2,3,1,0,0,0
651,1,243,35704.76,146.93316872427985,13624,10785.4,24919.36,-14133.960000000001,6,7,5,1,0,0
651,1,243,35704.76,146.93316872427985,13624,10785.4,24919.36,-14133.960000000001,6,7,5,1,0,0
655,9,183,23927.72,130.75256830601094,7556,4095.52,19832.2,-15736.68,5,5,0,0,0,0
655,9,183,23927.72,130.75256830601094,7556,4095.52,19832.2,-15736.68,5,5,0,0,0,0
682,5,171,13822.960000000001,80.83602339181287,6252,2488.56,11334.4,-8845.84,2,3,2,0,0,0
682,5,171,13822.960000000001,80.83602339181287,6252,2488.56,11334.4,-8845.84,2,3,2,0,0,0
692,4,150,28086.72,187.2448,9284,8650.08,19436.64,-10786.56,3,5,5,1,0,0
692,4,150,28086.72,187.2448,9284,8650.08,19436.64,-10786.56,3,5,5,1,0,0
720,1,163,48468.4,297.3521472392638,10148,13402.8,35065.6,-21662.8,4,5,1,1,0,0
720,1,163,48468.4,297.3521472392638,10148,13402.8,35065.6,-21662.8,4,5,1,1,0,0
733,591,1,76.32000000000001,76.32,20,0.0,76.32000000000001,-76.32000000000001,5,5,0,0,0,1
733,591,1,76.32000000000001,76.32,20,0.0,76.32000000000001,-76.32000000000001,5,5,0,0,0,1
762,18,82,13041.2,159.03902439024392,5700,2674.4,10366.8,-7692.4,3,3,1,0,0,0
762,18,82,13041.2,159.03902439024392,5700,2674.4,10366.8,-7692.4,3,3,1,0,0,0
764,2,210,37767.88,179.8470476190476,12524,13263.28,24504.600000000002,-11241.320000000002,0,2,1,1,0,0
764,2,210,37767.88,179.8470476190476,12524,13263.28,24504.600000000002,-11241.320000000002,0,2,1,1,0,0
766,7,116,40625.200000000004,350.2172413793104,11940,15726.48,24898.72,-9172.240000000002,5,5,2,1,0,0
766,7,116,40625.200000000004,350.2172413793104,11940,15726.48,24898.72,-9172.240000000002,5,5,2,1,0,0
779,0,634,52347.16,82.56649842271294,20184,13152.08,39195.08,-26043.0,3,7,0,1,0,0
779,0,634,52347.16,82.56649842271294,20184,13152.08,39195.08,-26043.0,3,7,0,1,0,0
780,521,1,7.96,7.96,4,0.0,7.96,-7.96,3,4,2,1,0,1
780,521,1,7.96,7.96,4,0.0,7.96,-7.96,3,4,2,1,0,1
789,0,184,71540.48,388.8069565217392,18468,19462.48,52078.0,-32615.52,1,4,2,1,0,0
789,0,184,71540.48,388.8069565217392,18468,19462.48,52078.0,-32615.52,1,4,2,1,0,0
794,4,39,12070.32,309.4953846153846,3144,3958.92,8111.400000000001,-4152.4800000000005,2,6,0,1,0,0
794,4,39,12070.32,309.4953846153846,3144,3958.92,8111.400000000001,-4152.4800000000005,2,6,0,1,0,0
801,1,165,29536.0,179.0060606060606,9408,8886.32,20649.68,-11763.36,3,3,2,1,0,0
801,1,165,29536.0,179.0060606060606,9408,8886.32,20649.68,-11763.36,3,3,2,1,0,0
808,6,108,14966.92,138.5825925925926,6584,3434.28,11532.64,-8098.359999999999,5,6,1,1,0,0
808,6,108,14966.92,138.5825925925926,6584,3434.28,11532.64,-8098.359999999999,5,6,1,1,0,0
812,561,55,6524.8,118.6327272727273,2080,0.0,6524.8,-6524.8,3,4,1,1,0,1
812,561,55,6524.8,118.6327272727273,2080,0.0,6524.8,-6524.8,3,4,1,1,0,1
815,2,314,110640.2,352.3573248407643,31296,33530.04,77110.16,-43580.12,5,4,1,1,0,0
815,2,314,110640.2,352.3573248407643,31296,33530.04,77110.16,-43580.12,5,4,1,1,0,0
826,23,1,122.64,122.64,36,122.64,0.0,122.64,3,3,4,1,0,0
826,23,1,122.64,122.64,36,122.64,0.0,122.64,3,3,4,1,0,0
839,0,109,29763.36,273.0583486238532,7516,5588.52,24174.84,-18586.32,2,5,0,1,0,0
839,0,109,29763.36,273.0583486238532,7516,5588.52,24174.84,-18586.32,2,5,0,1,0,0
845,3,247,34925.4,141.39838056680162,13552,8770.04,26155.36,-17385.32,5,3,1,1,0,0
845,3,247,34925.4,141.39838056680162,13552,8770.04,26155.36,-17385.32,5,3,1,1,0,0
881,589,1,115.24000000000001,115.24000000000001,36,0.0,115.24000000000001,-115.24000000000001,2,6,1,1,0,1
881,589,1,115.24000000000001,115.24000000000001,36,0.0,115.24000000000001,-115.24000000000001,2,6,1,1,0,1
915,72,4,214.4,53.599999999999994,76,138.84,75.56,63.28,0,4,1,1,0,0
915,72,4,214.4,53.599999999999994,76,138.84,75.56,63.28,0,4,1,1,0,0
916,138,34,5092.4800000000005,149.77882352941177,1884,1784.24,3308.2400000000002,-1524.0000000000002,0,5,2,0,0,1
916,138,34,5092.4800000000005,149.77882352941177,1884,1784.24,3308.2400000000002,-1524.0000000000002,0,5,2,0,0,1
918,156,4,152.48,38.120000000000005,96,17.96,134.52,-116.56,1,4,1,1,0,1
918,156,4,152.48,38.120000000000005,96,17.96,134.52,-116.56,1,4,1,1,0,1
982,15,88,26441.36,300.47,10956,6810.28,19631.08,-12820.800000000003,4,4,1,1,0,0
982,15,88,26441.36,300.47,10956,6810.28,19631.08,-12820.800000000003,4,4,1,1,0,0
984,3,425,56479.56,132.89308235294118,26140,14625.960000000001,41853.6,-27227.64,3,3,2,1,0,0
984,3,425,56479.56,132.89308235294118,26140,14625.960000000001,41853.6,-27227.64,3,3,2,1,0,0
986,0,145,26614.88,183.55089655172418,10716,8756.32,17858.56,-9102.240000000002,2,7,0,1,0,0
986,0,145,26614.88,183.55089655172418,10716,8756.32,17858.56,-9102.240000000002,2,7,0,1,0,0
991,0,1517,100025.24,65.93621621621622,34492,19872.0,80153.24,-60281.240000000005,3,1,0,1,0,0
991,0,1517,100025.24,65.93621621621622,34492,19872.0,80153.24,-60281.240000000005,3,1,0,1,0,0
992,0,398,43493.56,109.2803015075377,20012,15083.36,28410.2,-13326.84,4,2,0,1,0,0
992,0,398,43493.56,109.2803015075377,20012,15083.36,28410.2,-13326.84,4,2,0,1,0,0
1012,3,117,17644.32,150.80615384615385,8752,4552.0,13092.32,-8540.32,5,5,2,0,0,0
1012,3,117,17644.32,150.80615384615385,8752,4552.0,13092.32,-8540.32,5,5,2,0,0,0
1015,9,273,42235.32,154.70813186813186,16872,9110.32,33125.0,-24014.68,5,3,3,1,0,0
1015,9,273,42235.32,154.70813186813186,16872,9110.32,33125.0,-24014.68,5,3,3,1,0,0
1020,0,687,51731.92,75.30119359534207,16168,17772.48,33959.44,-16186.960000000003,1,4,3,1,0,0
1020,0,687,51731.92,75.30119359534207,16168,17772.48,33959.44,-16186.960000000003,1,4,3,1,0,0
1034,2,347,67887.12,195.64011527377525,32124,20412.84,47474.28,-27061.44,2,1,4,1,0,0
1034,2,347,67887.12,195.64011527377525,32124,20412.84,47474.28,-27061.44,2,1,4,1,0,0
1080,0,283,39627.32,140.02586572438162,12544,11536.04,28091.28,-16555.239999999998,1,3,3,1,0,0
1080,0,283,39627.32,140.02586572438162,12544,11536.04,28091.28,-16555.239999999998,1,3,3,1,0,0
1082,0,620,103393.76,166.76412903225807,35040,27154.88,76238.88,-49084.0,5,2,0,1,0,0
1082,0,620,103393.76,166.76412903225807,35040,27154.88,76238.88,-49084.0,5,2,0,1,0,0
1102,1,257,106681.72,415.1039688715953,29924,32293.56,74388.16,-42094.600000000006,4,2,4,1,0,0
1102,1,257,106681.72,415.1039688715953,29924,32293.56,74388.16,-42094.600000000006,4,2,4,1,0,0
1112,111,29,4111.76,141.78482758620692,1704,2388.04,1723.72,664.3199999999999,1,4,1,1,0,1
1112,111,29,4111.76,141.78482758620692,1704,2388.04,1723.72,664.3199999999999,1,4,1,1,0,1
1120,1,251,61559.96,245.2588047808765,19988,15283.880000000001,46276.08,-30992.2,2,3,1,1,0,0
1120,1,251,61559.96,245.2588047808765,19988,15283.880000000001,46276.08,-30992.2,2,3,1,1,0,0
1121,59,95,11143.6,117.30105263157895,4484,2526.0,8617.6,-6091.6,2,4,1,0,0,0
1121,59,95,11143.6,117.30105263157895,4484,2526.0,8617.6,-6091.6,2,4,1,0,0,0
1122,5,204,13672.28,67.02098039215687,6136,3666.96,10005.32,-6338.36,0,4,3,0,0,0
1122,5,204,13672.28,67.02098039215687,6136,3666.96,10005.32,-6338.36,0,4,3,0,0,0
1132,235,1,21.96,21.96,4,0.0,21.96,-21.96,2,5,0,1,0,1
1132,235,1,21.96,21.96,4,0.0,21.96,-21.96,2,5,0,1,0,1
1137,0,174,46479.76,267.1250574712643,12968,16548.36,29931.4,-13383.04,4,2,3,1,0,0
1137,0,174,46479.76,267.1250574712643,12968,16548.36,29931.4,-13383.04,4,2,3,1,0,0
1165,6,161,16451.84,102.18534161490683,7768,4339.04,12112.8,-7773.759999999999,2,4,0,1,0,0
1165,6,161,16451.84,102.18534161490683,7768,4339.04,12112.8,-7773.759999999999,2,4,0,1,0,0
1187,6,276,47007.0,170.31521739130434,17100,12668.2,34338.8,-21670.600000000002,4,4,4,1,0,0
1187,6,276,47007.0,170.31521739130434,17100,12668.2,34338.8,-21670.600000000002,4,4,4,1,0,0
1192,3,282,32630.760000000002,115.71191489361703,8324,9449.92,23180.84,-13730.92,4,4,0,0,0,0
1192,3,282,32630.760000000002,115.71191489361703,8324,9449.92,23180.84,-13730.92,4,4,0,0,0,0
1195,3,248,72632.56,292.8732258064516,23604,19002.4,53630.16,-34627.76,2,3,4,1,0,0
1195,3,248,72632.56,292.8732258064516,23604,19002.4,53630.16,-34627.76,2,3,4,1,0,0
1205,3,89,23013.0,258.5730337078652,7480,6220.24,16792.760000000002,-10572.520000000002,3,4,2,0,0,0
1205,3,89,23013.0,258.5730337078652,7480,6220.24,16792.760000000002,-10572.520000000002,3,4,2,0,0,0
1234,501,1,105.76,105.75999999999999,28,0.0,105.76,-105.76,0,3,4,1,0,1
1234,501,1,105.76,105.75999999999999,28,0.0,105.76,-105.76,0,3,4,1,0,1
1241,1,671,126867.48,189.07225037257825,45448,32955.28,93912.2,-60956.92,2,4,2,1,0,0
1241,1,671,126867.48,189.07225037257825,45448,32955.28,93912.2,-60956.92,2,4,2,1,0,0
1245,1,469,116896.68000000001,249.24665245202561,43964,32583.68,84313.0,-51729.32,0,3,4,1,0,0
1245,1,469,116896.68000000001,249.24665245202561,43964,32583.68,84313.0,-51729.32,0,3,4,1,0,0
1251,2,131,69865.24,533.3224427480916,16392,20689.0,49176.24,-28487.239999999998,3,5,1,1,0,0
1251,2,131,69865.24,533.3224427480916,16392,20689.0,49176.24,-28487.239999999998,3,5,1,1,0,0
1261,14,236,37463.08,158.74186440677965,11816,10014.6,27448.48,-17433.879999999997,6,7,5,1,0,0
1261,14,236,37463.08,158.74186440677965,11816,10014.6,27448.48,-17433.879999999997,6,7,5,1,0,0
1265,5,264,89141.48,337.65712121212124,26720,25050.28,64091.200000000004,-39040.920000000006,1,4,2,1,0,0
1265,5,264,89141.48,337.65712121212124,26720,25050.28,64091.200000000004,-39040.920000000006,1,4,2,1,0,0
1270,1,324,83858.96,258.82395061728397,25808,19345.56,64513.4,-45167.84,2,3,4,1,0,0
1270,1,324,83858.96,258.82395061728397,25808,19345.56,64513.4,-45167.84,2,3,4,1,0,0
1275,2,118,17493.28,148.24813559322033,9508,5094.92,12398.36,-7303.4400000000005,6,7,5,1,0,0
1275,2,118,17493.28,148.24813559322033,9508,5094.92,12398.36,-7303.4400000000005,6,7,5,1,0,0
1277,3,128,27142.600000000002,212.05156250000005,9108,7662.88,19479.72,-11816.84,2,4,0,1,0,0
1277,3,128,27142.600000000002,212.05156250000005,9108,7662.88,19479.72,-11816.84,2,4,0,1,0,0
1290,2,148,36875.36,249.15783783783783,15120,10212.32,26663.04,-16450.72,2,5,1,1,0,0
1290,2,148,36875.36,249.15783783783783,15120,10212.32,26663.04,-16450.72,2,5,1,1,0,0
1301,425,1,123.56,123.55999999999999,32,0.0,123.56,-123.56,1,3,1,1,0,1
1301,425,1,123.56,123.55999999999999,32,0.0,123.56,-123.56,1,3,1,1,0,1
1308,2,161,17555.8,109.04223602484474,5948,6330.32,11225.48,-4895.16,2,4,0,0,0,0
1308,2,161,17555.8,109.04223602484474,5948,6330.32,11225.48,-4895.16,2,4,0,0,0,0
1349,0,98,7029.88,71.73346938775511,2576,3198.88,3831.0,-632.1199999999999,2,3,0,0,0,0
1349,0,98,7029.88,71.73346938775511,2576,3198.88,3831.0,-632.1199999999999,2,3,0,0,0,0
1358,122,41,1647.2,40.175609756097565,696,262.24,1384.96,-1122.72,0,3,3,0,0,1
1358,122,41,1647.2,40.175609756097565,696,262.24,1384.96,-1122.72,0,3,3,0,0,1
1373,5,104,16552.12,159.15500000000003,6852,4860.76,11691.36,-6830.6,5,5,2,1,0,0
1373,5,104,16552.12,159.15500000000003,6852,4860.76,11691.36,-6830.6,5,5,2,1,0,0
1399,4,176,19312.44,109.72977272727272,7532,6382.16,12930.28,-6548.120000000001,5,1,0,0,0,0
1399,4,176,19312.44,109.72977272727272,7532,6382.16,12930.28,-6548.120000000001,5,1,0,0,0,0
1404,3,180,59120.0,328.44444444444446,19972,12836.0,46284.0,-33448.0,0,3,1,1,0,0
1404,3,180,59120.0,328.44444444444446,19972,12836.0,46284.0,-33448.0,0,3,1,1,0,0
1433,5,566,85578.08,151.19802120141347,35248,17846.52,67731.56,-49885.03999999999,6,7,5,1,0,0
1433,5,566,85578.08,151.19802120141347,35248,17846.52,67731.56,-49885.03999999999,6,7,5,1,0,0
1437,0,475,52099.6,109.68336842105263,17964,18576.72,33522.88,-14946.159999999996,5,6,0,1,0,0
1437,0,475,52099.6,109.68336842105263,17964,18576.72,33522.88,-14946.159999999996,5,6,0,1,0,0
1441,3,194,58650.0,302.319587628866,17092,14963.0,43687.0,-28724.0,3,2,4,1,0,0
1441,3,194,58650.0,302.319587628866,17092,14963.0,43687.0,-28724.0,3,2,4,1,0,0
1446,7,141,57885.36,410.53446808510637,18140,15950.08,41935.28,-25985.199999999997,3,2,4,1,0,0
1446,7,141,57885.36,410.53446808510637,18140,15950.08,41935.28,-25985.199999999997,3,2,4,1,0,0
1448,1,216,41073.520000000004,190.15518518518522,16580,8088.36,32985.16,-24896.800000000003,3,4,2,1,0,0
1448,1,216,41073.520000000004,190.15518518518522,16580,8088.36,32985.16,-24896.800000000003,3,4,2,1,0,0
1461,410,1,14.0,14.0,4,0.0,14.0,-14.0,3,2,4,1,0,1
1461,410,1,14.0,14.0,4,0.0,14.0,-14.0,3,2,4,1,0,1
1462,678,10,665.92,66.59200000000001,176,0.0,665.92,-665.92,3,0,0,1,0,1
1462,678,10,665.92,66.59200000000001,176,0.0,665.92,-665.92,3,0,0,1,0,1
1469,36,3,774.56,258.18666666666667,92,43.96,730.6,-686.64,5,6,1,0,0,0
1469,36,3,774.56,258.18666666666667,92,43.96,730.6,-686.64,5,6,1,0,0,0
1470,4,142,9836.36,69.27014084507043,5316,1399.92,8436.44,-7036.52,6,7,5,0,0,0
1470,4,142,9836.36,69.27014084507043,5316,1399.92,8436.44,-7036.52,6,7,5,0,0,0
1473,11,98,22235.920000000002,226.89714285714285,8748,6386.56,15849.36,-9462.8,2,6,3,1,0,0
1473,11,98,22235.920000000002,226.89714285714285,8748,6386.56,15849.36,-9462.8,2,6,3,1,0,0
1492,0,221,62049.28,280.76597285067874,19940,17065.96,44983.32,-27917.36,2,3,2,1,0,0
1492,0,221,62049.28,280.76597285067874,19940,17065.96,44983.32,-27917.36,2,3,2,1,0,0
1495,7,262,23101.64,88.17419847328244,7940,3736.0,19365.64,-15629.64,5,6,1,0,0,0
1495,7,262,23101.64,88.17419847328244,7940,3736.0,19365.64,-15629.64,5,6,1,0,0,0
1526,2,119,25379.28,213.2712605042017,7580,9176.4,16202.88,-7026.48,3,4,4,1,0,0
1526,2,119,25379.28,213.2712605042017,7580,9176.4,16202.88,-7026.48,3,4,4,1,0,0
1532,1,135,21692.68,160.6865185185185,10084,5781.92,15910.76,-10128.84,0,3,5,1,0,0
1532,1,135,21692.68,160.6865185185185,10084,5781.92,15910.76,-10128.84,0,3,5,1,0,0
1545,3,319,57175.0,179.2319749216301,14724,15059.76,42115.24,-27055.479999999996,6,7,5,1,0,0
1545,3,319,57175.0,179.2319749216301,14724,15059.76,42115.24,-27055.479999999996,6,7,5,1,0,0
1554,12,142,16970.28,119.50901408450703,8996,2292.88,14677.4,-12384.52,5,6,0,1,0,0
1554,12,142,16970.28,119.50901408450703,8996,2292.88,14677.4,-12384.52,5,6,0,1,0,0
1565,427,1,146.8,146.8,40,0.0,146.8,-146.8,4,2,2,1,0,1
1565,427,1,146.8,146.8,40,0.0,146.8,-146.8,4,2,2,1,0,1
1567,8,179,43617.4,243.67262569832403,16752,11327.4,32290.0,-20962.6,5,3,0,1,0,0
1567,8,179,43617.4,243.67262569832403,16752,11327.4,32290.0,-20962.6,5,3,0,1,0,0
1573,98,3,421.2,140.4,184,330.04,91.16,238.88000000000002,0,3,4,0,0,1
1573,98,3,421.2,140.4,184,330.04,91.16,238.88000000000002,0,3,4,0,0,1
1600,4,126,30770.4,244.20952380952383,7532,9856.12,20914.28,-11058.159999999998,6,7,5,1,0,0
1600,4,126,30770.4,244.20952380952383,7532,9856.12,20914.28,-11058.159999999998,6,7,5,1,0,0
1618,2,288,32403.68,112.51277777777779,13364,6643.52,25760.16,-19116.64,0,4,1,0,0,0
1618,2,288,32403.68,112.51277777777779,13364,6643.52,25760.16,-19116.64,0,4,1,0,0,0
1631,0,683,52359.520000000004,76.66108345534407,23380,13524.800000000001,38834.72,-25309.92,2,4,1,1,0,0
1631,0,683,52359.520000000004,76.66108345534407,23380,13524.800000000001,38834.72,-25309.92,2,4,1,1,0,0
1632,0,218,39412.8,180.79266055045872,11416,12821.960000000001,26590.84,-13768.88,1,3,0,0,0,0
1632,0,218,39412.8,180.79266055045872,11416,12821.960000000001,26590.84,-13768.88,1,3,0,0,0,0
1647,1,111,51320.520000000004,462.347027027027,15308,10741.16,40579.36,-29838.2,6,7,5,1,0,0
1647,1,111,51320.520000000004,462.347027027027,15308,10741.16,40579.36,-29838.2,6,7,5,1,0,0
